# Rime user dictionary
#@/db_name	rime_mint
#@/db_type	userdb
#@/rime_version	1.11.2
#@/tick	66987
#@/user_id	eda97b9c-91d9-424e-a110-67fce4e92b13
a 	啊	c=267 d=2.50639 t=66987
an quan xing 	安全性	c=1 d=1.5696e-39 t=66987
an se 	暗色	c=3 d=8.05967e-22 t=66987
an se fa she dian fa 	暗色发射点法	c=1 d=2.38173e-92 t=66987
an sheng fen 	按省份	c=1 d=0.0497871 t=66987
an shi 	按时	c=0 d=0.0102956 t=66987
an shi da 	安师大	c=1 d=0.00675424 t=66987
an shi da a si di fen 	安师大阿斯蒂芬	c=1 d=0.0678809 t=66987
an shi da fa shi 	按时大法师	c=1 d=0.0495388 t=66987
an shi she an 	按时涉案	c=1 d=0.0539337 t=66987
an wei 	安慰	c=1 d=2.00951e-34 t=66987
an wei yi xia 	安慰一下	c=1 d=1.29831e-130 t=66987
an xia 	按下	c=2 d=1 t=66987
an xu 	按需	c=1 d=2.57432e-95 t=66987
an zhao 	按照	c=31 d=1.25905 t=66987
an zhu 	按住	c=1 d=7.54016e-91 t=66987
an zhuang 	安装	c=74 d=0.951229 t=66987
an zhuang bao 	安装包	c=6 d=5.75932e-39 t=66987
an zhuang dao 	安装到	c=1 d=1.72602e-39 t=66987
an zhuang shi 	安装时	c=1 d=6.42093e-83 t=66987
an zhuang wan 	安装完	c=1 d=0.0023461 t=66987
an zhun gui 	按准轨	c=1 d=3.27583e-136 t=66987
an zhuo 	安卓	c=15 d=9.98657e-14 t=66987
ao 	傲	c=0 d=2.46096e-125 t=66987
ao 	熬	c=2 d=0.00254765 t=66987
ao si ding fa she dian fa 	奥斯丁发射点法	c=24 d=3.99519 t=66987
ao si ding fa she dian fa shang de 	奥斯丁发射点法上的	c=3 d=0.110903 t=66987
ao si ding fa she dian fa shi 	奥斯丁发射点法是	c=2 d=1.8614e-45 t=66987
ao si ding fa she dian fa shi da fu 	奥斯丁发射点法士大夫	c=4 d=0.113972 t=66987
ao ye 	熬夜	c=1 d=2.00665e-76 t=66987
ao yun 	奥运	c=0 d=9.18825e-06 t=66987
ba 	八	c=2 d=0.00108628 t=66987
ba 	吧	c=251 d=0.768078 t=66987
ba 	把	c=303 d=1.97596 t=66987
ba 	爸	c=1 d=5.56163e-128 t=66987
ba ba 	爸爸	c=2 d=7.36002e-130 t=66987
ba ba 	粑粑	c=6 d=5.41701e-44 t=66987
ba bei shui 	八杯水	c=1 d=6.9116e-67 t=66987
ba gua 	八卦	c=1 d=2.78294e-100 t=66987
ba le 	罢了	c=3 d=1.87921e-10 t=66987
ba ma 	爸妈	c=4 d=6.07667e-23 t=66987
ba ni 	把你	c=1 d=2.54255e-97 t=66987
ba ni ru 	把你入	c=1 d=2.5553e-96 t=66987
ba ni xu 	把逆序	c=1 d=1.20331e-89 t=66987
ba ta 	把他	c=2 d=7.56121e-65 t=66987
ba wo 	把我	c=3 d=0.66365 t=66987
ba yue 	八月	c=1 d=1.22461e-119 t=66987
ba yue fen 	八月份	c=1 d=0.115903 t=66987
ba zhe ge 	把这个	c=1 d=2.15529e-05 t=66987
bai 	白	c=5 d=1.08491e-47 t=66987
bai 	败	c=1 d=2.97266e-23 t=66987
bai ban 	白板	c=1 d=4.44314e-16 t=66987
bai cai 	白菜	c=1 d=2.96984e-100 t=66987
bai chi 	白痴	c=1 d=5.83486e-104 t=66987
bai du 	百度	c=7 d=4.30436e-25 t=66987
bai du ren 	摆渡人	c=1 d=5.5891e-39 t=66987
bai fen bi 	百分比	c=2 d=2.9138e-23 t=66987
bai fen zhi 	百分之	c=1 d=8.30882e-86 t=66987
bai fen zhi bai 	百分之百	c=1 d=3.4534e-110 t=66987
bai ke 	百科	c=2 d=1.44243e-45 t=66987
bai lu 	白鹿	c=2 d=1.93809e-20 t=66987
bai mi 	百米	c=0 d=0.000202943 t=66987
bai mi gai an 	百米该案	c=1 d=0.0020396 t=66987
bai ming dan 	白名单	c=10 d=0.00219303 t=66987
bai o qing 	白哦请	c=1 d=4.65779e-71 t=66987
bai piao 	白嫖	c=1 d=6.84355e-127 t=66987
bai ping 	白屏	c=1 d=2.26888e-21 t=66987
bai sha zhou 	白沙洲	c=1 d=1.26776e-144 t=66987
ban 	办	c=1 d=0.000678925 t=66987
ban 	半	c=3 d=2.45576e-11 t=66987
ban 	板	c=3 d=0.011475 t=66987
ban 	班	c=2 d=1.25745e-48 t=66987
ban ben 	版本	c=67 d=2.87317 t=66987
ban ben hao 	版本号	c=4 d=5.18454e-08 t=66987
ban dao 	搬到	c=1 d=6.79365e-41 t=66987
ban de 	办的	c=1 d=2.43042e-36 t=66987
ban de dong 	搬得动	c=2 d=7.73365e-99 t=66987
ban dong 	搬动	c=1 d=3.76566e-99 t=66987
ban fa 	办法	c=2 d=2.27754e-07 t=66987
ban gong 	办公	c=1 d=4.15335e-46 t=66987
ban gong shi 	办公室	c=1 d=2.47928e-123 t=66987
ban guo lai 	搬过来	c=2 d=2.17588e-65 t=66987
ban jia 	半价	c=1 d=5.38128e-05 t=66987
ban jiao 	半角	c=2 d=0.10547 t=66987
ban jing 	半径	c=1 d=1.66111e-88 t=66987
ban ka 	办卡	c=1 d=0.000675539 t=66987
ban le 	办了	c=1 d=3.38121e-38 t=66987
ban lv 	伴侣	c=16 d=1.79764e-50 t=66987
ban nian 	半年	c=3 d=4.09578e-27 t=66987
ban ping 	扳平	c=1 d=1.08436e-41 t=66987
ban tian 	半天	c=4 d=5.02671e-56 t=66987
ban tou ming 	半透明	c=2 d=5.55271e-21 t=66987
ban xiao shi 	半小时	c=3 d=2.64729e-11 t=66987
ban xing 	板型	c=0 d=1.05281e-77 t=66987
ban zhang 	班长	c=1 d=1.23054e-117 t=66987
ban zheng 	办证	c=2 d=2.17725e-36 t=66987
ban zhuan 	搬砖	c=2 d=1.08399 t=66987
bang 	帮	c=6 d=7.35221e-22 t=66987
bang a 	棒啊	c=0 d=1.13733e-103 t=66987
bang a ming 	棒啊名	c=1 d=1.14303e-102 t=66987
bang bang wo 	帮帮我	c=1 d=7.59031e-22 t=66987
bang bu liao 	帮不了	c=1 d=2.72477e-28 t=66987
bang dan 	榜单	c=40 d=1.57557 t=66987
bang dan zhi 	榜单值	c=1 d=9.32711e-05 t=66987
bang ding 	绑定	c=35 d=2.3791 t=66987
bang ding le 	绑定了	c=1 d=9.83007e-64 t=66987
bang mang 	帮忙	c=68 d=8.70394e-05 t=66987
bang ni 	帮你	c=3 d=1.76821e-29 t=66987
bang ni men 	帮你们	c=1 d=5.94564e-90 t=66987
bang ping 	帮平	c=1 d=1.16378e-49 t=66987
bang ta 	帮他	c=1 d=4.65002e-22 t=66987
bang ta men 	帮他们	c=1 d=3.13263e-22 t=66987
bang wo 	帮我	c=107 d=1.08912 t=66987
bang zhu 	帮助	c=1 d=4.16126e-39 t=66987
bao 	包	c=80 d=0.647155 t=66987
bao 	宝	c=2 d=0.755784 t=66987
bao 	报	c=37 d=0.000111365 t=66987
bao 	抱	c=3 d=0.909373 t=66987
bao bao 	宝宝	c=4 d=0.348192 t=66987
bao biao 	爆表	c=1 d=9.30658e-126 t=66987
bao chi 	保持	c=6 d=2.20326e-23 t=66987
bao cun 	保存	c=34 d=1.04623 t=66987
bao cuo 	报错	c=42 d=1.29579e-19 t=66987
bao cuo le 	报错了	c=13 d=0.0250972 t=66987
bao fang 	包房	c=1 d=2.65958e-96 t=66987
bao fu 	报复	c=1 d=6.14865e-132 t=66987
bao gao 	报告	c=2 d=2.33917e-27 t=66987
bao gao li 	报告里	c=1 d=3.35009e-135 t=66987
bao guan 	报官	c=1 d=7.74076e-47 t=66987
bao guang 	曝光	c=25 d=1.88179e-05 t=66987
bao guo 	报过	c=3 d=3.17573e-16 t=66987
bao han 	包含	c=14 d=2.11539e-11 t=66987
bao hu 	保护	c=4 d=6.58928e-118 t=66987
bao huo 	保活	c=1 d=1.08318e-87 t=66987
bao ji 	暴击	c=10 d=6.68411e-85 t=66987
bao ji lv 	暴击率	c=1 d=7.84521e-87 t=66987
bao jian yuan 	保健院	c=1 d=7.03735e-132 t=66987
bao kuo 	包括	c=1 d=5.0617e-20 t=66987
bao le 	报了	c=1 d=9.22242e-78 t=66987
bao le ge 	报了个	c=1 d=2.40575e-63 t=66987
bao liu 	保留	c=7 d=1.15702e-10 t=66987
bao mu 	保姆	c=6 d=8.82458e-17 t=66987
bao nu 	暴怒	c=0 d=3.68357e-76 t=66987
bao nu shi 	暴怒是	c=1 d=3.70203e-75 t=66987
bao peng 	爆棚	c=2 d=3.18092e-08 t=66987
bao qian 	抱歉	c=1 d=1.54759e-20 t=66987
bao tai 	保胎	c=1 d=4.89629e-129 t=66987
bao xian 	保险	c=2 d=7.5227e-05 t=66987
bao xiang 	宝箱	c=2 d=8.60915e-25 t=66987
bao xiao 	报销	c=3 d=1.15675e-66 t=66987
bao xiao dan 	报销单	c=1 d=1.27841e-66 t=66987
bao zang 	宝藏	c=7 d=1.39499e-11 t=66987
bao zha 	爆炸	c=1 d=8.13434e-101 t=66987
bao zhe ta 	抱着她	c=1 d=4.70411e-11 t=66987
bao zhen 	保真	c=1 d=7.15855e-127 t=66987
bao zheng 	暴政	c=1 d=1.77864e-10 t=66987
bao zi 	包子	c=0 d=0.0377192 t=66987
bao zi jie 	包子接	c=1 d=0.379083 t=66987
bao zuo 	宝座	c=1 d=1.5272e-11 t=66987
bei 	倍	c=3 d=0.0780817 t=66987
bei 	呗	c=6 d=6.29914e-93 t=66987
bei 	背	c=1 d=2.12422e-40 t=66987
bei 	被	c=52 d=1.49279 t=66987
bei bao 	背包	c=2 d=4.08519e-12 t=66987
bei fang 	北方	c=6 d=0.0215456 t=66987
bei fang zhi 	北方只	c=1 d=0.216536 t=66987
bei fen 	备份	c=1 d=3.85127e-40 t=66987
bei guan suo 	悲观锁	c=2 d=6.29445e-106 t=66987
bei guo 	背锅	c=1 d=2.59488e-71 t=66987
bei jing 	北京	c=2 d=0.000106849 t=66987
bei jing 	背景	c=46 d=1.67017e-05 t=66987
bei jing se 	背景色	c=4 d=9.01215e-42 t=66987
bei jing tu 	背景图	c=12 d=3.55033e-72 t=66987
bei lu 	北路	c=1 d=2.6055e-119 t=66987
bei lun 	悖论	c=1 d=1.74248e-33 t=66987
bei lv 	倍率	c=1 d=2.63169e-119 t=66987
bei ren 	被人	c=1 d=8.61532e-71 t=66987
bei shu 	倍数	c=2 d=0.0821917 t=66987
bei shu 	背书	c=1 d=0.000236397 t=66987
bei shu tu 	倍数图	c=1 d=8.96139e-05 t=66987
bei ta 	被他	c=1 d=0.680451 t=66987
bei teng 	背疼	c=2 d=3.81581e-48 t=66987
bei tong 	北通	c=4 d=3.15838e-123 t=66987
bei wang 	备忘	c=1 d=1.31626e-27 t=66987
bei wo 	被我	c=3 d=2.32794e-58 t=66987
bei wo nen 	被我嫩	c=1 d=2.68531e-121 t=66987
bei zhe 	背着	c=1 d=2.37574e-33 t=66987
bei zhu 	备注	c=2 d=2.38359e-13 t=66987
ben 	本	c=6 d=7.82679e-30 t=66987
ben 	笨	c=1 d=1.49707e-100 t=66987
ben chang 	本场	c=3 d=1.96481e-116 t=66987
ben ci 	本次	c=4 d=0.371577 t=66987
ben dan 	笨蛋	c=1 d=8.8019e-29 t=66987
ben di 	本地	c=85 d=0.494109 t=66987
ben di bao 	本地宝	c=1 d=1.03352e-123 t=66987
ben fang 	奔放	c=2 d=1.87194e-82 t=66987
ben fang an 	本方案	c=1 d=1.86261e-82 t=66987
ben fang jian 	本房间	c=1 d=1.69381e-82 t=66987
ben hui 	本会	c=0 d=4.19553e-107 t=66987
ben hui he 	本会和	c=2 d=8.56155e-106 t=66987
ben lai 	本来	c=4 d=1.55002e-09 t=66987
ben lun 	本轮	c=2 d=0.000122182 t=66987
ben ren 	本人	c=2 d=1.46455 t=66987
ben shen 	本身	c=16 d=0.591555 t=66987
ben si le 	笨死了	c=5 d=5.72242e-81 t=66987
ben tiao 	本条	c=4 d=1.47677e-75 t=66987
ben wen 	本文	c=0 d=1.06833e-102 t=66987
ben wen jian 	本文件	c=1 d=1.07368e-101 t=66987
ben xiang mu 	本项目	c=2 d=5.2621e-98 t=66987
beng 	崩	c=6 d=0.000149981 t=66987
beng kui 	崩溃	c=11 d=9.77636e-29 t=66987
beng kui le 	崩溃了	c=1 d=4.08707e-92 t=66987
beng le 	崩了	c=8 d=5.48301e-10 t=66987
bi 	比	c=14 d=0.000105946 t=66987
bi 	逼	c=2 d=3.5466e-41 t=66987
bi ai 	必爱	c=0 d=2.65551e-79 t=66987
bi an ling 	狴犴令	c=1 d=1.40649e-101 t=66987
bi chan chong 	比馋虫	c=1 d=0.00106477 t=66987
bi er 	比尔	c=0 d=5.66934e-90 t=66987
bi gong bi jing 	毕恭毕敬	c=1 d=4.03871e-99 t=66987
bi guan suo guo 	闭关锁国	c=1 d=0.0523397 t=66987
bi jian 	比肩	c=1 d=6.4606e-126 t=66987
bi jiao 	比较	c=18 d=2.83372e-16 t=66987
bi jiao duo 	比较多	c=2 d=0.000352662 t=66987
bi jiao shao 	比较少	c=1 d=0.000907334 t=66987
bi jiao xiao 	比较小	c=1 d=6.67388e-67 t=66987
bi jing 	毕竟	c=4 d=2.6593e-36 t=66987
bi li 	比例	c=6 d=1.3569e-71 t=66987
bi li chi 	比例尺	c=2 d=8.46877e-05 t=66987
bi mai 	闭麦	c=4 d=2.27313e-43 t=66987
bi mian 	避免	c=2 d=5.49092e-07 t=66987
bi na 	比那	c=0 d=8.91735e-95 t=66987
bi na yi 	比那以	c=1 d=8.96205e-94 t=66987
bi qiang 	鼻腔	c=1 d=7.95513e-133 t=66987
bi qu jian 	闭区间	c=1 d=2.28973e-11 t=66987
bi ran 	必然	c=1 d=1.29769e-95 t=66987
bi ren 	逼人	c=2 d=1.7365e-22 t=66987
bi ru 	比如	c=19 d=0.681828 t=66987
bi sai 	比赛	c=1 d=2.22767e-70 t=66987
bi shu 	避暑	c=1 d=3.29113e-132 t=66987
bi tian 	必填	c=1 d=0.000291637 t=66987
bi wo 	比我	c=3 d=2.8199e-20 t=66987
bi xian 	必先	c=2 d=9.57029e-109 t=66987
bi xu 	必须	c=12 d=6.69437e-05 t=66987
bi xu shi 	必须是	c=1 d=2.53332e-112 t=66987
bi xu yao 	必须要	c=4 d=0.187308 t=66987
bi xue 	鼻血	c=4 d=0.729789 t=66987
bi ya di 	比亚迪	c=1 d=0.000125903 t=66987
bi yao 	必要	c=6 d=1.05199e-09 t=66987
bi yao me 	必要么	c=1 d=1.05726e-08 t=66987
bi ye 	毕业	c=2 d=4.99454e-138 t=66987
bi yi qian 	比以前	c=1 d=1.60158e-41 t=66987
bi yuan 	闭源	c=1 d=2.65893e-05 t=66987
bi zhi 	壁纸	c=5 d=0.0468877 t=66987
bi zi 	鼻子	c=2 d=5.90071e-89 t=66987
bian 	变	c=12 d=3.137e-09 t=66987
bian 	编	c=1 d=4.08082e-74 t=66987
bian 	边	c=5 d=0.295372 t=66987
bian 	遍	c=1 d=9.73826e-130 t=66987
bian an 	变暗	c=0 d=1.21024e-40 t=66987
bian cheng 	变成	c=1 d=1.94238e-46 t=66987
bian cheng 	编程	c=8 d=0.0347373 t=66987
bian cheng le 	变成了	c=1 d=1.77375e-07 t=66987
bian da 	变大	c=1 d=1.10472e-54 t=66987
bian geng 	变更	c=11 d=0.000206287 t=66987
bian hua 	变化	c=9 d=1.45508 t=66987
bian huan 	变换	c=1 d=0.308819 t=66987
bian ji 	编辑	c=42 d=0.0692522 t=66987
bian ji qi 	编辑器	c=13 d=0.00102302 t=66987
bian kuang 	边框	c=3 d=1.1126e-20 t=66987
bian le 	变了	c=12 d=0.661645 t=66987
bian li 	便利	c=1 d=1.37465e-67 t=66987
bian li 	遍历	c=1 d=1.38154e-67 t=66987
bian liang 	变量	c=27 d=0.994634 t=66987
bian liang wai 	变量外	c=1 d=1.97617e-43 t=66987
bian man le 	变慢了	c=1 d=6.99817e-37 t=66987
bian pai 	编排	c=1 d=5.95027e-11 t=66987
bian pai zai 	编排在	c=1 d=6.1931e-11 t=66987
bian wei 	变为	c=1 d=1.55494e-105 t=66987
bian wei le 	变为了	c=1 d=4.52615e-116 t=66987
bian xiao 	变小	c=1 d=3.28407e-48 t=66987
bian xie 	编写	c=1 d=4.20268e-126 t=66987
bian xie 	边写	c=1 d=0.000139842 t=66987
bian xue 	边学	c=1 d=1.82522e-20 t=66987
bian yi 	编译	c=12 d=7.48253e-49 t=66987
bian zhi 	贬值	c=1 d=6.93022e-128 t=66987
biao 	标	c=2 d=1.54647e-28 t=66987
biao 	表	c=8 d=0.0168231 t=66987
biao da 	表达	c=1 d=3.45035e-129 t=66987
biao da shi 	表达式	c=3 d=0.0735345 t=66987
biao dan 	表单	c=11 d=4.18083e-06 t=66987
biao dan xiang 	表单想	c=1 d=4.78496e-35 t=66987
biao dian 	标点	c=1 d=1.09006e-132 t=66987
biao ge 	表格	c=5 d=1.05656e-19 t=66987
biao ji 	标记	c=6 d=2.55416e-32 t=66987
biao ji wei 	标记为	c=1 d=0.537944 t=66987
biao jie 	表姐	c=1 d=1.57393e-42 t=66987
biao jie gou 	表结构	c=1 d=7.2655e-125 t=66987
biao ming 	表明	c=1 d=6.95712e-56 t=66987
biao pan 	表盘	c=1 d=9.25859e-124 t=66987
biao qian 	标签	c=53 d=9.38663e-35 t=66987
biao qian ye 	标签页	c=1 d=5.9962e-72 t=66987
biao qing 	表情	c=53 d=0.00463092 t=66987
biao shi 	标示	c=2 d=1.24041e-64 t=66987
biao shi 	表示	c=20 d=0.00130051 t=66987
biao tai 	表态	c=7 d=4.62054e-06 t=66987
biao ti 	标题	c=6 d=1.80533e-20 t=66987
biao xian 	表现	c=3 d=8.18147e-22 t=66987
biao zhi 	标致	c=1 d=6.63043e-49 t=66987
biao zhu 	标注	c=2 d=6.9765e-103 t=66987
biao zhun 	标准	c=1 d=2.72801e-42 t=66987
bie 	别	c=9 d=0.0165727 t=66987
bie de 	别的	c=2 d=5.63402e-121 t=66987
bie jia 	别家	c=1 d=2.87463e-99 t=66987
bie jing 	别经	c=1 d=5.34555e-103 t=66987
bie juan 	别卷	c=1 d=1.69646e-71 t=66987
bie kan 	别看	c=2 d=1.22636e-128 t=66987
bie ming 	别名	c=4 d=1.36354e-19 t=66987
bie re wo 	别惹我	c=3 d=9.35547e-126 t=66987
bie ren 	别人	c=15 d=1.07894e-16 t=66987
bing 	兵	c=1 d=3.30616e-68 t=66987
bing 	并	c=56 d=1.00155 t=66987
bing 	病	c=15 d=3.9741e-27 t=66987
bing bu 	并不	c=1 d=9.31858e-53 t=66987
bing bu shi 	并不是	c=1 d=8.16981e-64 t=66987
bing cheng 	冰城	c=1 d=5.29558e-22 t=66987
bing fa 	并发	c=1 d=3.22957e-57 t=66987
bing mei you 	并没有	c=1 d=8.63174e-64 t=66987
bing qie 	并且	c=6 d=0.000126202 t=66987
bing xiang 	冰箱	c=0 d=3.41428e-124 t=66987
bing xiang le 	冰箱了	c=1 d=3.43139e-123 t=66987
bing zheng 	病症	c=1 d=2.39839e-27 t=66987
bing zi 	丙子	c=1 d=1.40567e-06 t=66987
bo 	播	c=2 d=1.45586 t=66987
bo 	波	c=0 d=0.067032 t=66987
bo bu lai o 	波不赖哦	c=1 d=0.67368 t=66987
bo fang 	播放	c=31 d=0.524663 t=66987
bo fang qi 	播放器	c=5 d=1.63779 t=66987
bo xia qu 	播下去	c=1 d=9.68341e-93 t=66987
bo yin 	播音	c=1 d=4.35354e-41 t=66987
bo yin zhu chi 	播音主持	c=1 d=4.10001e-41 t=66987
bo zi 	脖子	c=1 d=3.81465e-104 t=66987
bu 	不	c=233 d=2.27358 t=66987
bu ai 	不爱	c=1 d=4.4353e-54 t=66987
bu an 	不按	c=1 d=6.49672e-74 t=66987
bu an quan 	不安全	c=1 d=1.50805e-39 t=66987
bu ba wo 	不把我	c=1 d=1.00677e-138 t=66987
bu bao liu 	不保留	c=1 d=3.69876e-94 t=66987
bu beng le 	不崩了	c=1 d=1.0568e-91 t=66987
bu bian 	不变	c=3 d=1.37661e-25 t=66987
bu biao 	部标	c=1 d=7.42585e-29 t=66987
bu cai yuan 	不裁员	c=1 d=5.74426e-67 t=66987
bu cha qian 	不差钱	c=1 d=2.53073e-100 t=66987
bu chang 	补偿	c=2 d=0.000321271 t=66987
bu che di 	不彻底	c=1 d=2.96237e-41 t=66987
bu cheng gong 	不成功	c=2 d=2.15156e-15 t=66987
bu cheng gong nong 	不成功弄	c=1 d=2.16234e-14 t=66987
bu chi 	不吃	c=5 d=0.364219 t=66987
bu chi dao 	不迟到	c=1 d=8.85721e-132 t=66987
bu chi fan 	不吃饭	c=1 d=5.66549e-81 t=66987
bu chi le 	不吃了	c=1 d=5.00707e-10 t=66987
bu chu lai 	不出来	c=1 d=2.25788e-52 t=66987
bu chuan 	不传	c=5 d=6.36394e-37 t=66987
bu ci er 	不刺耳	c=1 d=4.30963e-10 t=66987
bu cuan zai 	不窜在	c=1 d=1.12999e-26 t=66987
bu cun zai 	不存在	c=25 d=4.18013 t=66987
bu cuo 	不错	c=6 d=4.53299e-16 t=66987
bu da 	不大	c=6 d=6.42921e-10 t=66987
bu dai 	不带	c=2 d=6.94687e-65 t=66987
bu dai biao 	不代表	c=1 d=1.20061e-92 t=66987
bu dai ji 	不待机	c=1 d=3.66344e-40 t=66987
bu dao 	不到	c=7 d=0.00341356 t=66987
bu dao 	补刀	c=12 d=0.00339653 t=66987
bu dao le 	不到了	c=2 d=1.06709e-58 t=66987
bu dao ren 	不刀刃	c=1 d=2.39034e-105 t=66987
bu de 	不得	c=1 d=8.55313e-74 t=66987
bu de bu shuo 	不得不说	c=1 d=8.68211e-103 t=66987
bu dei 	不得	c=2 d=1.22441e-117 t=66987
bu deng lu 	不登录	c=1 d=8.13269e-128 t=66987
bu dong 	不动	c=4 d=1.78388e-20 t=66987
bu dong de 	不懂得	c=1 d=6.82704e-128 t=66987
bu dou 	不都	c=1 d=2.21859e-22 t=66987
bu dou shi 	不都是	c=2 d=4.68528e-52 t=66987
bu dui 	不对	c=3 d=0.00201931 t=66987
bu dui 	部队	c=6 d=4.5595e-26 t=66987
bu duo 	不多	c=0 d=1.48243e-103 t=66987
bu duo le 	不多了	c=1 d=5.27634e-38 t=66987
bu er neng 	不而能	c=2 d=1.7404e-20 t=66987
bu fa 	不发	c=1 d=6.86076e-39 t=66987
bu fa zhan 	不发展	c=1 d=0.000253537 t=66987
bu fang 	布防	c=0 d=0.0631284 t=66987
bu fang bian 	不方便	c=2 d=1.41242e-33 t=66987
bu fang mo shi 	布防模式	c=1 d=0.634448 t=66987
bu fen 	不分	c=2 d=7.87432e-13 t=66987
bu fen 	部分	c=1 d=7.91379e-13 t=66987
bu fen fang zi 	不分房子	c=1 d=8.65794e-129 t=66987
bu gan 	不敢	c=3 d=6.30599e-47 t=66987
bu gan chi 	不敢吃	c=2 d=5.87585e-10 t=66987
bu gan jing 	不干净	c=0 d=3.30008e-18 t=66987
bu gao 	不搞	c=1 d=1.70166e-107 t=66987
bu gei 	不给	c=2 d=1.45623e-10 t=66987
bu gen zhe 	不跟着	c=1 d=3.48562e-131 t=66987
bu geng xin 	不更新	c=1 d=3.87494e-112 t=66987
bu gou 	不够	c=7 d=8.3178e-24 t=66987
bu gou 	不苟	c=0 d=7.23049e-128 t=66987
bu gou jian 	不构建	c=1 d=6.28349e-05 t=66987
bu guai 	不怪	c=1 d=3.05259e-41 t=66987
bu guan 	不管	c=4 d=2.50257e-86 t=66987
bu guan zhu 	不关注	c=1 d=5.55803e-91 t=66987
bu gui 	不贵	c=1 d=6.0246e-10 t=66987
bu guo 	不过	c=5 d=0.26982 t=66987
bu guo lai 	不过来	c=1 d=2.41018e-114 t=66987
bu hao 	不好	c=14 d=0.000649057 t=66987
bu hao chi 	不好吃	c=3 d=2.835e-24 t=66987
bu hao gao 	不好高	c=1 d=1.43455e-10 t=66987
bu hao kong zhi 	不好控制	c=1 d=3.40373e-116 t=66987
bu hao ting 	不好听	c=2 d=8.85255e-87 t=66987
bu hao wan 	不好玩	c=3 d=1.79114e-126 t=66987
bu hao yi si 	不好意思	c=1 d=3.52651e-33 t=66987
bu hao yong 	不好用	c=3 d=1.89319e-09 t=66987
bu hao zhuan 	不好转	c=1 d=3.18203e-59 t=66987
bu he 	不合	c=1 d=3.93054e-15 t=66987
bu he fang 	不何妨	c=1 d=3.63738e-103 t=66987
bu huan 	不换	c=1 d=2.26334e-51 t=66987
bu hui 	不会	c=62 d=0.618548 t=66987
bu huo 	捕获	c=4 d=4.01895e-12 t=66987
bu huo dao 	不或到	c=1 d=3.61836e-12 t=66987
bu ji 	不急	c=1 d=1.58473e-93 t=66987
bu ji xu 	不继续	c=1 d=9.41834e-90 t=66987
bu jia zai 	不加载	c=2 d=3.23057e-90 t=66987
bu jian le 	不见了	c=2 d=1.63105e-79 t=66987
bu jian yi 	不建议	c=1 d=1.06517e-125 t=66987
bu jiang 	不讲	c=1 d=0.000125275 t=66987
bu jiao 	补觉	c=2 d=5.71057e-86 t=66987
